,metric,context,cluster,first,second,metric value
442,top 64 5mer overlap,Swapped RBNS,8,LM D[DAZAP1],DAZAP1,0.296875
443,top 64 5mer overlap,Swapped RBNS,8,LM D[Rbm47_xt],Rbm47_xt,0.375
444,top 64 5mer overlap,Swapped RBNS,9,LM D[A1CF_gg],ZFP36,0.1875
445,top 64 5mer overlap,Swapped RBNS,9,LM D[BOLL],ZC3H14,0.53125
446,top 64 5mer overlap,Swapped RBNS,9,LM D[CPEB1],FUBP1,0.5
447,top 64 5mer overlap,Swapped RBNS,9,LM D[CPEB2],BOLL,0.296875
448,top 64 5mer overlap,Swapped RBNS,9,LM D[CPEB4],CPEB2,0.4375
449,top 64 5mer overlap,Swapped RBNS,9,LM D[ELAVL4],RBM15B,0.5
450,top 64 5mer overlap,Swapped RBNS,9,LM D[FUBP1],ZFP36L1,0.34375
451,top 64 5mer overlap,Swapped RBNS,9,LM D[FUBP3],ZFP36L2,0.53125
